Name	Crit_1_constr	Crit_1_op
NUCLEAR	0.000000	0.000000
CCGT	0.000030	0.000000
CCGT_AMMONIA	275.191809	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	16851.142252	0.000000
WIND_ONSHORE	503.334864	0.000000
WIND_OFFSHORE	983.204552	0.000000
HYDRO_RIVER	10.020034	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	119.061724	0.000000
IND_COGEN_WOOD	0.000030	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	9.690021	0.000000
IND_BOILER_WOOD	67.795949	0.000000
IND_BOILER_OIL	0.001722	0.000000
IND_BOILER_COAL	0.000729	0.000000
IND_BOILER_WASTE	1.009708	0.000000
IND_DIRECT_ELEC	1160.171784	0.000000
DHN_HP_ELEC	4195.054930	0.000000
DHN_COGEN_GAS	0.000029	0.000000
DHN_COGEN_WOOD	0.000001	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000003	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000145	0.000000
DHN_BOILER_GAS	0.000114	0.000000
DHN_BOILER_WOOD	0.000157	0.000000
DHN_BOILER_OIL	0.002991	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000055	0.000000
DEC_HP_ELEC	1010.918867	0.000000
DEC_THHP_GAS	0.001941	0.000000
DEC_COGEN_GAS	0.000010	0.000000
DEC_COGEN_OIL	0.000001	0.000000
DEC_ADVCOGEN_GAS	0.000001	0.000000
DEC_ADVCOGEN_H2	0.000004	0.000000
DEC_BOILER_GAS	0.000126	0.000000
DEC_BOILER_WOOD	0.000197	0.000000
DEC_BOILER_OIL	0.000472	0.000000
DEC_SOLAR	0.000168	0.000000
DEC_DIRECT_ELEC	0.000011	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.005109	0.000000
BUS_COACH_CNG_STOICH	0.001703	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.001723	0.000000
CAR_GASOLINE	0.000235	0.000000
