Name	Used	Potential
ELECTRICITY	27600.004457	27600.000000
GASOLINE	0.000725	1000000.000000
DIESEL	0.000731	1000000.000000
BIOETHANOL	0.034167	1000000.000000
BIODIESEL	0.064024	1000000.000000
LFO	0.001088	1000000.000000
GAS	78311.895044	1000000.000000
GAS_RE	0.000010	1000000.000000
WOOD	23400.042845	23400.000000
WET_BIOMASS	38900.069710	38900.000000
COAL	0.000896	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.023084	17800.000000
H2	0.000026	1000000.000000
H2_RE	41706.838767	1000000.000000
AMMONIA	0.000604	1000000.000000
METHANOL	0.000646	1000000.000000
AMMONIA_RE	10195.236550	1000000.000000
METHANOL_RE	52880.211912	1000000.000000
ELEC_EXPORT	910.945244	1000000.000000
CO2_EMISSIONS	41946.830494	1000000.000000
RES_WIND	42068.961542	1000000.000000
RES_SOLAR	60756.066963	1000000.000000
RES_HYDRO	477.862929	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000479	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
