Name	HH_constr	HH_op
NUCLEAR	0.000000	0.000000
CCGT	213.739678	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	17484.404663	0.000000
WIND_ONSHORE	852.254083	0.000000
WIND_OFFSHORE	668.502000	0.000000
HYDRO_RIVER	27.243440	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	540.153367	0.000000
IND_COGEN_WOOD	0.000001	0.000000
IND_COGEN_WASTE	0.000002	0.000000
IND_BOILER_GAS	0.000004	0.000000
IND_BOILER_WOOD	0.000009	0.000000
IND_BOILER_OIL	0.000003	0.000000
IND_BOILER_COAL	0.000004	0.000000
IND_BOILER_WASTE	93.600727	0.000000
IND_DIRECT_ELEC	6.151327	0.000000
DHN_HP_ELEC	251.152161	0.000000
DHN_COGEN_GAS	0.000011	0.000000
DHN_COGEN_WOOD	0.000001	0.000000
DHN_COGEN_WASTE	0.000002	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000000
DHN_COGEN_BIO_HYDROLYSIS	133.427826	0.000000
DHN_BOILER_GAS	0.000001	0.000000
DHN_BOILER_WOOD	0.000004	0.000000
DHN_BOILER_OIL	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000010	0.000000
DEC_HP_ELEC	942.265488	0.000000
DEC_THHP_GAS	0.000018	0.000000
DEC_COGEN_GAS	0.000004	0.000000
DEC_COGEN_OIL	0.000003	0.000000
DEC_ADVCOGEN_GAS	0.000001	0.000000
DEC_ADVCOGEN_H2	0.000001	0.000000
DEC_BOILER_GAS	0.000010	0.000000
DEC_BOILER_WOOD	0.000004	0.000000
DEC_BOILER_OIL	0.000009	0.000000
DEC_SOLAR	0.000129	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000
TRAMWAY_TROLLEY	42.015711	0.000000
BUS_COACH_DIESEL	0.000001	0.000000
BUS_COACH_HYDIESEL	0.000004	0.000000
BUS_COACH_CNG_STOICH	192.162596	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	238.571858	0.000000
CAR_GASOLINE	0.000002	0.000000
CAR_DIESEL	0.000001	0.000000
CAR_NG	0.000002	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000002	0.000000
CAR_PHEV	0.000462	0.000000
CAR_BEV	23361.179596	0.000000
CAR_FUEL_CELL	0.000004	0.000000
TRAIN_FREIGHT	51.740434	0.000000
BOAT_FREIGHT_DIESEL	0.000006	0.000000
BOAT_FREIGHT_NG	89.945395	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	2047.376810	0.000000
TRUCK_NG	389.445152	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	2.013900	0.000000
BATT_LI	0.000187	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000018	0.000000
TS_DEC_HP_ELEC	114.832455	0.000000
TS_DEC_THHP_GAS	0.000018	0.000000
TS_DEC_COGEN_GAS	0.000018	0.000000
TS_DEC_COGEN_OIL	0.000018	0.000000
TS_DEC_ADVCOGEN_GAS	0.000018	0.000000
TS_DEC_ADVCOGEN_H2	0.000017	0.000000
TS_DEC_BOILER_GAS	0.000018	0.000000
TS_DEC_BOILER_WOOD	0.000018	0.000000
TS_DEC_BOILER_OIL	0.000018	0.000000
TS_DHN_DAILY	0.000057	0.000000
TS_DHN_SEASONAL	162.020957	0.000000
TS_HIGH_TEMP	595.121972	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
